chemin,lignes,sha1,role_presume,statut,findings
nexus/lib/ai.js,222,83833be227d9,"lib Nexus",A_LIRE,
nexus/lib/db.js,121,13f0eb14e7e7,"lib Nexus",A_LIRE,
nexus/lib/googleAuth.js,154,da9f37a0f461,"lib Nexus",A_LIRE,
nexus/lib/http.js,43,de9f0181937f,"lib Nexus",A_LIRE,
nexus/lib/integrations/brevo.js,188,cce16da31fd0,"lib Nexus",A_LIRE,
nexus/lib/integrations/netlify.js,146,9f1faaa23bb5,"lib Nexus",A_LIRE,
nexus/lib/integrations/stripe.js,193,a7cfe4ac31be,"lib Nexus",A_LIRE,
nexus/lib/longTermMemory.js,317,d79934093aaf,"lib Nexus",A_LIRE,
nexus/lib/memory.js,103,029aa0ac139c,"lib Nexus",A_LIRE,
nexus/lib/systemPrompt.js,57,8ca25eee91c6,"lib Nexus",A_LIRE,
nexus/lib/telegramCompat.js,168,def53dcc178a,"lib Nexus",A_LIRE,
nexus/migrations/001_nexus_tables.sql,42,a4f621dc3164,"migration SQL / runner",A_LIRE,
nexus/migrations/002_finance_tables.sql,38,e787443b709d,"migration SQL / runner",A_LIRE,
nexus/migrations/003_memory.sql,18,3f33f6caa9e5,"migration SQL / runner",A_LIRE,
nexus/migrations/004_ltm.sql,42,2c34fdf47be2,"migration SQL / runner",A_LIRE,
nexus/migrations/005_advanced_memory.sql,36,88723739eb69,"migration SQL / runner",A_LIRE,
nexus/migrations/006_seed_memory.sql,35,17c31e73b498,"migration SQL / runner",A_LIRE,
nexus/migrations/007_autonomous.sql,102,ab70669e38e0,"migration SQL / runner",A_LIRE,
nexus/migrations/008_victor_jobs.sql,26,475578c09a2d,"migration SQL / runner",A_LIRE,
nexus/migrations/009_task_retry_and_secrets.sql,49,68961db2e6a3,"migration SQL / runner",A_LIRE,
nexus/migrations/010_pronostics_unicite.sql,29,b7f81c525edd,"migration SQL / runner",A_LIRE,
nexus/migrations/011_pari_code.sql,27,c4518c0e309a,"migration SQL / runner",A_LIRE,
nexus/migrations/012_cote_confirmee.sql,37,0cb083d207d2,"migration SQL / runner",A_LIRE,
nexus/migrations/run.js,66,8fd656411de8,"migration SQL / runner",A_LIRE,
nexus/migrations/run_010_pronostics_unicite.js,53,647099e29f3d,"migration SQL / runner",A_LIRE,
nexus/migrations/run_011_pari_code.js,81,f1ff18df72a1,"migration SQL / runner",A_LIRE,
nexus/migrations/run_advanced_memory.js,27,1d1a1f3b6920,"migration SQL / runner",A_LIRE,
nexus/migrations/run_autonomous.js,33,7a851177e27f,"migration SQL / runner",A_LIRE,
nexus/migrations/run_critique_memory.js,57,f31b3fcfb051,"migration SQL / runner",A_LIRE,
nexus/migrations/run_finance.js,55,79dd0a2b2804,"migration SQL / runner",A_LIRE,
nexus/migrations/run_ltm.js,27,b9ba7e562470,"migration SQL / runner",A_LIRE,
nexus/migrations/run_memory.js,22,307a5e674026,"migration SQL / runner",A_LIRE,
nexus/migrations/run_task_retry.js,38,eb36669c6658,"migration SQL / runner",A_LIRE,
nexus/migrations/run_victor_jobs.js,28,edd9ef4620c8,"migration SQL / runner",A_LIRE,
nexus/nexusCron.js,336,dbeb41d2956b,"Nexus (module en veille)",A_LIRE,
nexus/orchestrator.js,55,241a71a33577,"Nexus (module en veille)",A_LIRE,
nexus/proactivity.js,185,6b062adf05f2,"Nexus (module en veille)",A_LIRE,
nexus/projects.js,176,f4b4545af102,"Nexus (module en veille)",A_LIRE,
nexus/routes/autonomous.js,151,08a4b02aff5f,"Nexus (module en veille)",A_LIRE,
nexus/routes/chat.js,334,aec365e7d8d6,"Nexus (module en veille)",A_LIRE,
nexus/routes/google.js,93,2f747916834a,"Nexus (module en veille)",A_LIRE,
nexus/routes/index.js,41,4e5dafc85641,"Nexus (module en veille)",A_LIRE,
nexus/routes/memory.js,83,ea744ca30d50,"Nexus (module en veille)",A_LIRE,
nexus/routes/middleware.js,66,77b682ccdfce,"Nexus (module en veille)",A_LIRE,
nexus/routes/planning.js,84,3040d4e71d9c,"Nexus (module en veille)",A_LIRE,
nexus/routes/tasks.js,144,1c21230ca2a6,"Nexus (module en veille)",A_LIRE,
nexus/selfImprovement.js,115,d7deeb96e9eb,"Nexus (module en veille)",A_LIRE,
nexus/telegramHandler.js,881,58f93b40f393,"Nexus (module en veille)",A_LIRE,
nexus/test-unit.js,286,a25dfdfc9438,"Nexus (module en veille)",A_LIRE,
nexus/test_agents.js,140,917fe4c0ddca,"Nexus (module en veille)",A_LIRE,
nexus/worker.js,300,5f42e4740cf6,"Nexus (module en veille)",A_LIRE,
package-lock.json,1504,4578951885e3,"racine / config projet",A_LIRE,
package.json,31,ad4bd2e222fb,"racine / config projet",A_LIRE,
picks/.gitkeep,1,da39a3ee5e6b,"données picks",NON_APPLICABLE(fichier vide de structure),
public/_apercu.html,137,86bd8173494b,"frontend",A_LIRE,
public/css/design.css,393,36e838503fda,"frontend",A_LIRE,
public/css/main.css,757,1ad3437d8f92,"frontend",A_LIRE,
public/index.html,448,99b325bb50d1,"frontend",A_LIRE,
public/js/app.js,2836,25d3abce006b,"frontend",A_LIRE,
public/js/modules/api.js,479,4d7572b32867,"frontend",A_LIRE,
public/js/modules/config.js,193,1d0619c35a14,"frontend",A_LIRE,
public/js/modules/state.js,87,c589c6e6ec66,"frontend",A_LIRE,
public/manifest.json,13,814362f069c3,"frontend",A_LIRE,
public/service-worker.js,70,22fcaa932b96,"frontend",A_LIRE,
queues/reveil.js,44,4743f3284302,"file de jobs / workers",LU,0
queues/test-unit.js,64,6048aa887b50,"file de jobs / workers",A_LIRE,
queues/victorQueue.js,136,2ca25e3a0536,"file de jobs / workers",LU,0
queues/workerManager.js,483,94e474404562,"file de jobs / workers",LU,1
queues/workers/liveWorker.js,46,0d0db36b5d3f,"file de jobs / workers",A_LIRE,
queues/workers/prematchWorker.js,58,412df11e9f00,"file de jobs / workers",LU,0
queues/workers/valueWorker.js,57,cb55685e849e,"file de jobs / workers",LU,0
render.yaml,69,ecddf0742563,"racine / config projet",A_LIRE,
scripts/generate-picks.js,77,9059729b7de6,"script ponctuel",A_LIRE,
server.js,812,ba6c7af35445,"point d entree Express",LU,11
tools/verif-syntaxe.js,59,5739712c3475,"outillage dev",A_LIRE,
victor/core.js,1654,ab64866b33bb,"coeur Victor (analyse, sources, notation)",LU,5
victor/healthcheck.js,186,0c6e2cc14582,"coeur Victor (analyse, sources, notation)",A_LIRE,
victor/mortalite.js,78,727d0f7b539f,"coeur Victor (analyse, sources, notation)",A_LIRE,
victor/odds.js,360,ebbfadd81937,"coeur Victor (analyse, sources, notation)",LU,0
victor/paris.js,262,3f29f54446b8,"coeur Victor (analyse, sources, notation)",LU,1
victor/patterns-compute.js,259,49a68cb91606,"coeur Victor (analyse, sources, notation)",A_LIRE,
victor/patterns.js,390,2b670fe97b20,"coeur Victor (analyse, sources, notation)",A_LIRE,
victor/prompt.js,260,48e15879d8ee,"coeur Victor (analyse, sources, notation)",LU,1
victor/sources.js,607,a860916285a8,"coeur Victor (analyse, sources, notation)",A_LIRE,
victor/test-unit.js,620,92e1da45d682,"coeur Victor (analyse, sources, notation)",A_LIRE,
victor/test.js,86,24ffeb1f41e0,"coeur Victor (analyse, sources, notation)",A_LIRE,
